N,Triton,Torch,Paddle
256.0,0.0,0.0,0.0
384.0,0.0,0.0,0.0
512.0,0.0,0.0,0.0
640.0,0.0,0.0,0.1
768.0,0.1,0.1,0.1
896.0,0.1,0.1,0.1
1024.0,0.1,0.1,0.1
1152.0,0.1,0.1,0.1
1280.0,0.1,0.1,0.1
1408.0,0.1,0.1,0.1
1536.0,0.1,0.1,0.1
1664.0,0.1,0.1,0.1
1792.0,0.1,0.2,0.1
1920.0,0.1,0.2,0.1
2048.0,0.1,0.2,0.1
2176.0,0.1,0.2,0.2
2304.0,0.2,0.2,0.2
2432.0,0.2,0.2,0.2
2560.0,0.2,0.2,0.2
2688.0,0.2,0.2,0.2
2816.0,0.2,0.2,0.2
2944.0,0.2,0.2,0.2
3072.0,0.2,0.2,0.2
3200.0,0.2,0.2,0.2
3328.0,0.2,0.3,0.2
3456.0,0.2,0.3,0.2
3584.0,0.2,0.3,0.2
3712.0,0.3,0.3,0.3
3840.0,0.3,0.3,0.3
3968.0,0.3,0.3,0.3
4096.0,0.3,0.3,0.3
4224.0,0.3,0.3,0.3
4352.0,0.3,0.4,0.3
4480.0,0.3,0.4,0.3
4608.0,0.3,0.4,0.3
4736.0,0.3,0.4,0.3
4864.0,0.3,0.4,0.3
4992.0,0.3,0.5,0.3
5120.0,0.3,0.5,0.4
5248.0,0.4,0.5,0.4
5376.0,0.4,0.5,0.4
5504.0,0.4,0.5,0.4
5632.0,0.4,0.6,0.4
5760.0,0.4,0.6,0.4
5888.0,0.4,0.6,0.4
6016.0,0.4,0.6,0.4
6144.0,0.4,0.6,0.4
6272.0,0.4,0.7,0.4
6400.0,0.4,0.7,0.4
6528.0,0.4,0.7,0.4
6656.0,0.5,0.7,0.5
6784.0,0.5,0.8,0.5
6912.0,0.5,0.8,0.5
7040.0,0.5,0.8,0.5
7168.0,0.5,0.8,0.5
7296.0,0.5,0.9,0.5
7424.0,0.5,0.9,0.5
7552.0,0.5,0.9,0.5
7680.0,0.5,0.9,0.5
7808.0,0.5,1.0,0.5
7936.0,0.5,1.0,0.5
8064.0,0.6,1.0,0.6
8192.0,0.6,1.0,0.6
8320.0,0.6,1.0,0.6
8448.0,0.6,1.0,0.6
8576.0,0.6,1.1,0.6
8704.0,0.6,1.1,0.6
8832.0,0.6,1.1,0.6
8960.0,0.6,1.1,0.6
9088.0,0.6,1.1,0.6
9216.0,0.6,1.2,0.6
9344.0,0.6,1.2,0.6
9472.0,0.6,1.2,0.7
9600.0,0.7,1.2,0.7
9728.0,0.7,1.2,0.7
9856.0,0.7,1.3,0.7
9984.0,0.7,1.3,0.7
10112.0,0.7,1.3,0.7
10240.0,0.7,1.3,0.7
10368.0,0.7,1.3,0.7
10496.0,0.7,1.3,0.7
10624.0,0.7,1.4,0.7
10752.0,0.7,1.4,0.7
10880.0,0.7,1.4,0.8
11008.0,0.8,1.4,0.8
11136.0,0.8,1.4,0.8
11264.0,0.8,1.4,0.8
11392.0,0.8,1.5,0.8
11520.0,0.8,1.5,0.8
11648.0,0.8,1.5,0.8
11776.0,0.8,1.5,0.8
11904.0,0.8,1.5,0.8
12032.0,0.8,1.6,0.8
12160.0,0.8,1.6,0.8
12288.0,0.8,1.6,0.8
12416.0,0.9,1.6,0.9
12544.0,0.9,1.6,0.9
12672.0,0.9,1.6,0.9
